epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.0558,1.04012,0.54748,1.00407,0.97751,0.97698,0.99309,0.72028,1.13763,0.44427,1.06944,0.00014375,0.00014375,0.00014375
2,28.0216,0.93806,0.46095,0.95747,0.97257,0.97719,0.99209,0.71766,1.16716,0.43838,1.0902,0.000288903,0.000288903,0.000288903
3,32.7134,0.91368,0.46024,0.95569,0.97091,0.97813,0.98574,0.70239,1.20603,0.46677,1.11734,0.000429106,0.000429106,0.000429106
4,37.4368,0.88922,0.4698,0.95384,0.9681,0.97541,0.98547,0.70084,1.16074,0.4554,1.08415,0.000564359,0.000564359,0.000564359
5,42.9857,0.90756,0.46066,0.95534,0.9768,0.97751,0.99014,0.70802,1.18881,0.43523,1.1025,0.00058375,0.00058375,0.00058375
6,49.188,0.89227,0.47327,0.93545,0.98018,0.97358,0.99084,0.69764,1.20287,0.45291,1.1209,0.000573438,0.000573438,0.000573438
7,55.3202,0.87665,0.4344,0.92579,0.97438,0.97726,0.99085,0.70695,1.23625,0.48347,1.1423,0.000563125,0.000563125,0.000563125
8,61.6039,0.8842,0.44339,0.93793,0.97411,0.9719,0.98671,0.70703,1.19596,0.4821,1.11646,0.000552813,0.000552813,0.000552813
9,68.0311,0.85273,0.42594,0.92595,0.97675,0.97386,0.98793,0.69925,1.23331,0.47678,1.13572,0.0005425,0.0005425,0.0005425
10,74.1859,0.85103,0.43363,0.92585,0.97506,0.98265,0.99258,0.70758,1.23135,0.43464,1.14032,0.000532187,0.000532187,0.000532187
11,80.5461,0.86226,0.42296,0.91819,0.97492,0.97314,0.98789,0.70458,1.26323,0.47089,1.16599,0.000521875,0.000521875,0.000521875
12,86.0637,0.86463,0.47583,0.9328,0.96935,0.97667,0.98795,0.70063,1.20371,0.47788,1.13329,0.000511562,0.000511562,0.000511562
13,90.8115,0.81944,0.41626,0.9088,0.97021,0.97553,0.98778,0.70496,1.20879,0.48487,1.16111,0.00050125,0.00050125,0.00050125
14,95.5322,0.79518,0.42284,0.92252,0.97291,0.97429,0.98892,0.70285,1.20027,0.45749,1.1365,0.000490937,0.000490937,0.000490937
15,100.235,0.81719,0.41827,0.91318,0.96836,0.97422,0.98974,0.70086,1.20951,0.44941,1.12823,0.000480625,0.000480625,0.000480625
16,104.855,0.79481,0.39467,0.9141,0.96965,0.97303,0.98841,0.70439,1.234,0.45149,1.14657,0.000470312,0.000470312,0.000470312
17,109.466,0.81072,0.40946,0.9215,0.98476,0.97692,0.99278,0.70542,1.23167,0.45602,1.13805,0.00046,0.00046,0.00046
18,114.138,0.80248,0.40061,0.9115,0.96287,0.96904,0.98819,0.69848,1.26969,0.46119,1.19132,0.000449688,0.000449688,0.000449688
19,118.788,0.79841,0.4006,0.90472,0.97214,0.97417,0.98807,0.7001,1.25648,0.45069,1.18496,0.000439375,0.000439375,0.000439375
20,123.458,0.77149,0.39401,0.90691,0.98511,0.97195,0.98928,0.70328,1.18716,0.43368,1.12458,0.000429063,0.000429063,0.000429063
21,129.182,0.77584,0.3865,0.90016,0.97887,0.96984,0.98801,0.70027,1.17353,0.47065,1.11724,0.00041875,0.00041875,0.00041875
