epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.2455,1.07684,0.63638,1.08227,0.97379,0.95801,0.98916,0.72782,1.06631,0.4197,1.01792,6.25e-05,6.25e-05,6.25e-05
2,20.4786,0.96909,0.51303,1.00707,0.97289,0.97861,0.98748,0.72829,1.05819,0.41014,1.02033,0.000126919,0.000126919,0.000126919
3,23.6342,0.91583,0.46175,0.97284,0.97558,0.96929,0.98633,0.72292,1.06519,0.41082,1.03046,0.0001868,0.0001868,0.0001868
4,26.703,0.86611,0.43606,0.94992,0.98232,0.96139,0.98335,0.72193,1.07309,0.41633,1.02176,0.000242144,0.000242144,0.000242144
5,29.8284,0.84276,0.42039,0.93924,0.98106,0.95652,0.97986,0.70717,1.10328,0.42995,1.03617,0.00029295,0.00029295,0.00029295
6,32.8797,0.85407,0.44359,0.96176,0.98378,0.96041,0.98941,0.71887,1.09456,0.4212,1.03399,0.000339219,0.000339219,0.000339219
7,35.957,0.82411,0.43112,0.94044,0.97416,0.9839,0.99264,0.70463,1.11038,0.41803,1.05116,0.00038095,0.00038095,0.00038095
8,39.0098,0.84871,0.43982,0.96613,0.98009,0.98169,0.99309,0.71752,1.0969,0.40781,1.03738,0.000418144,0.000418144,0.000418144
9,42.0306,0.80419,0.40352,0.93227,0.97502,0.98569,0.99359,0.72385,1.08552,0.41254,1.03187,0.0004508,0.0004508,0.0004508
10,45.1854,0.79454,0.41925,0.93261,0.97462,0.9748,0.99195,0.72028,1.07853,0.42304,1.03961,0.000439375,0.000439375,0.000439375
11,48.2173,0.81882,0.42597,0.95818,0.97696,0.97274,0.99187,0.71096,1.11514,0.42685,1.04371,0.00041875,0.00041875,0.00041875
12,51.2415,0.80274,0.40356,0.93336,0.97868,0.98488,0.99205,0.70855,1.11069,0.42405,1.05037,0.000398125,0.000398125,0.000398125
