epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,636.986,1.2934,3.21864,1.29258,0.12391,0.45,0.15462,0.09675,1.57271,7.71261,1.8385,0.000656085,0.000656085,0.000656085
2,1352.54,1.42623,1.45892,1.37236,0.00807,0.43,0.00632,0.00335,1.58725,61.7707,1.77204,0.0013162,0.0013162,0.0013162
3,2099.83,1.49665,1.40704,1.41266,0.00181,0.12,0.0007,0.0003,3.491,84.6204,9.33933,0.00196972,0.00196972,0.00196972
4,2854.9,1.45429,1.2989,1.39608,0.02916,0.46,0.01786,0.00881,1.98308,24.6914,1.98924,0.0019703,0.0019703,0.0019703
5,3599.04,1.42136,1.2661,1.37027,0.5143,0.61,0.49192,0.30318,1.35344,1.95172,1.41829,0.0019604,0.0019604,0.0019604
6,4340.45,1.32745,1.14573,1.32406,0.90082,0.81747,0.86513,0.58412,1.23074,0.99701,1.27306,0.0019505,0.0019505,0.0019505
7,5080.72,1.25433,1.02499,1.24717,0.90113,0.83,0.87931,0.61077,1.21497,1.02387,1.26712,0.0019406,0.0019406,0.0019406
8,5823.21,1.28932,0.99818,1.2714,0.95363,0.82271,0.9121,0.60921,1.1882,0.94863,1.1969,0.0019307,0.0019307,0.0019307
9,6570.16,1.24004,0.95923,1.24804,0.87036,0.80566,0.89347,0.63356,1.09751,0.85887,1.18214,0.0019208,0.0019208,0.0019208
10,7316,1.22413,0.97421,1.23794,0.88405,0.87,0.90707,0.62239,1.0382,0.88392,1.16982,0.0019109,0.0019109,0.0019109
11,8058.02,1.16285,0.89083,1.20156,0.95639,0.87722,0.90902,0.65296,1.23553,0.91334,1.29219,0.001901,0.001901,0.001901
12,8811.92,1.15144,0.89496,1.19657,0.94233,0.81704,0.89469,0.64332,1.20914,1.18414,1.22469,0.0018911,0.0018911,0.0018911
13,9562.08,1.14886,0.88835,1.20471,0.96773,0.89955,0.95582,0.68103,1.11968,0.77773,1.15139,0.0018812,0.0018812,0.0018812
14,10312,1.13165,0.80514,1.18117,0.89692,0.89,0.92892,0.71725,0.98387,0.67938,1.08742,0.0018713,0.0018713,0.0018713
15,11065.9,1.13065,0.80588,1.18632,0.95466,0.84222,0.94239,0.70419,0.95466,0.71655,1.10417,0.0018614,0.0018614,0.0018614
16,11808.7,1.09545,0.7932,1.17231,0.92609,0.87709,0.92707,0.71132,0.93219,0.66112,1.07165,0.0018515,0.0018515,0.0018515
17,12553,1.11583,0.78518,1.14949,0.94332,0.93,0.95168,0.7277,1.0415,0.65569,1.14854,0.0018416,0.0018416,0.0018416
18,13298.5,1.0816,0.77678,1.15205,0.95835,0.92037,0.97195,0.72364,0.98925,0.64445,1.11901,0.0018317,0.0018317,0.0018317
19,14041.5,1.08174,0.74703,1.15554,0.9263,0.86,0.92121,0.69656,1.0425,0.78615,1.1398,0.0018218,0.0018218,0.0018218
20,14784.7,1.04614,0.74064,1.13311,0.97434,0.92,0.97257,0.72724,1.00879,0.68593,1.06673,0.0018119,0.0018119,0.0018119
21,15525.2,1.0542,0.73425,1.12724,0.93785,0.90549,0.95313,0.74419,0.93494,0.62257,1.08749,0.001802,0.001802,0.001802
22,16267.2,1.02128,0.71422,1.12231,0.93951,0.93194,0.95367,0.72833,1.01987,0.58732,1.1185,0.0017921,0.0017921,0.0017921
23,17012.4,1.01971,0.69562,1.12966,0.92754,0.94,0.97196,0.75678,0.92823,0.56758,1.10727,0.0017822,0.0017822,0.0017822
24,17756.2,1.05283,0.70322,1.133,0.93689,0.94,0.95749,0.73681,1.05838,0.58242,1.17681,0.0017723,0.0017723,0.0017723
25,18501.4,1.03376,0.71493,1.11992,0.94432,0.88,0.93956,0.70013,0.98327,0.66393,1.13144,0.0017624,0.0017624,0.0017624
26,19247,0.99959,0.66622,1.10355,0.96842,0.92001,0.9671,0.7565,0.91763,0.57652,1.07827,0.0017525,0.0017525,0.0017525
27,19991.5,0.97873,0.67043,1.09951,0.96966,0.95888,0.98061,0.77686,0.90975,0.52275,1.06439,0.0017426,0.0017426,0.0017426
28,20735.4,0.96129,0.6411,1.0935,0.99629,0.96,0.97899,0.75088,0.98052,0.56306,1.08514,0.0017327,0.0017327,0.0017327
29,21477.9,1.04247,0.68535,1.11933,0.96986,0.96543,0.97894,0.73208,1.08226,0.53235,1.13511,0.0017228,0.0017228,0.0017228
30,22220.4,0.99093,0.65696,1.10621,0.92842,0.95,0.97185,0.75415,0.96326,0.57077,1.07692,0.0017129,0.0017129,0.0017129
31,22963,0.96792,0.62835,1.09917,0.95338,0.95,0.97313,0.78063,0.93999,0.50049,1.09084,0.001703,0.001703,0.001703
32,23704.7,0.93435,0.64551,1.07767,0.88959,0.96692,0.96989,0.756,0.88927,0.55265,1.06281,0.0016931,0.0016931,0.0016931
33,24445.6,0.97989,0.63902,1.1004,0.97284,0.94,0.97057,0.73815,1.03042,0.55817,1.11996,0.0016832,0.0016832,0.0016832
34,25187,0.94772,0.61677,1.07934,0.95195,0.94,0.9608,0.74704,0.87548,0.56839,1.05566,0.0016733,0.0016733,0.0016733
35,25928.8,0.97491,0.63711,1.08245,0.94128,0.95,0.96302,0.75932,0.94421,0.61,1.06796,0.0016634,0.0016634,0.0016634
36,26671.7,0.98675,0.64566,1.1051,0.98968,0.9592,0.98448,0.77083,0.94092,0.52009,1.06334,0.0016535,0.0016535,0.0016535
37,27414.8,0.95591,0.61981,1.07371,0.93094,0.97,0.97619,0.75359,0.93638,0.54454,1.07484,0.0016436,0.0016436,0.0016436
38,28156.1,0.93289,0.63166,1.07096,0.97477,0.94,0.97365,0.7567,0.88486,0.54379,1.03342,0.0016337,0.0016337,0.0016337
39,28900.8,0.93577,0.62573,1.07094,0.95701,0.93,0.96329,0.75934,0.92729,0.52107,1.05412,0.0016238,0.0016238,0.0016238
40,29641.8,0.92498,0.61505,1.06226,0.95858,0.96,0.9811,0.74579,1.00479,0.55372,1.06515,0.0016139,0.0016139,0.0016139
41,30385.6,0.92168,0.60543,1.05768,0.95768,0.96,0.97623,0.7698,0.82071,0.46859,1.02823,0.001604,0.001604,0.001604
42,31128.8,0.91237,0.60045,1.06324,0.95239,0.96,0.98411,0.7898,0.86223,0.49404,1.00214,0.0015941,0.0015941,0.0015941
43,31873.1,0.94767,0.60764,1.07196,0.94929,0.936,0.95619,0.75562,0.84863,0.54105,1.02471,0.0015842,0.0015842,0.0015842
44,32614,0.94472,0.60116,1.06714,0.97789,0.95,0.95754,0.75975,0.81556,0.51776,1.01848,0.0015743,0.0015743,0.0015743
45,33353.6,0.90446,0.58866,1.04943,0.98528,0.95,0.98105,0.78018,0.89766,0.46975,1.04082,0.0015644,0.0015644,0.0015644
46,34095.2,0.93235,0.56365,1.05983,0.94933,0.93678,0.97982,0.79622,0.8016,0.49851,0.99769,0.0015545,0.0015545,0.0015545
47,34838,0.89201,0.56085,1.04804,0.95772,0.96,0.973,0.79874,0.82053,0.47819,1.00327,0.0015446,0.0015446,0.0015446
48,35579.9,0.88276,0.5767,1.03393,0.97566,0.93,0.98257,0.78539,0.83811,0.46205,0.99827,0.0015347,0.0015347,0.0015347
49,36321.1,0.89577,0.55772,1.03806,0.96065,0.97666,0.98197,0.78752,0.88023,0.47714,1.01564,0.0015248,0.0015248,0.0015248
50,37066.5,0.89149,0.56029,1.04417,0.97805,0.96,0.98286,0.76927,0.85605,0.49337,1.04935,0.0015149,0.0015149,0.0015149
51,37810.7,0.8758,0.54943,1.04351,0.95702,0.98,0.98461,0.78469,0.78841,0.46981,0.98606,0.001505,0.001505,0.001505
52,38554.4,0.88921,0.54908,1.04117,0.9686,0.97,0.98396,0.78211,0.84441,0.47391,0.99967,0.0014951,0.0014951,0.0014951
53,39315.3,0.89557,0.56291,1.05257,0.98307,0.97,0.98609,0.78905,0.84605,0.47599,1.04134,0.0014852,0.0014852,0.0014852
54,40068.3,0.86128,0.53322,1.03403,0.98743,0.94,0.98224,0.81181,0.79092,0.45075,0.9762,0.0014753,0.0014753,0.0014753
55,40814.2,0.8675,0.53535,1.02626,0.94105,0.95786,0.96834,0.76615,0.91177,0.48544,1.04247,0.0014654,0.0014654,0.0014654
56,41558.6,0.87401,0.5535,1.03742,0.96237,0.98,0.98879,0.78971,0.86977,0.45851,1.02886,0.0014555,0.0014555,0.0014555
57,42046.8,0.87824,0.54862,1.03235,0.97819,0.97,0.97729,0.78631,1.00227,0.50653,1.10784,0.0014456,0.0014456,0.0014456
58,42335.4,0.85111,0.52321,1.03058,0.98957,0.94874,0.98026,0.77448,0.90781,0.44752,1.05832,0.0014357,0.0014357,0.0014357
59,42624.3,0.84357,0.52979,1.03298,0.98556,0.95,0.98475,0.75539,1.04391,0.49134,1.07521,0.0014258,0.0014258,0.0014258
60,42913.3,0.8669,0.53558,1.02475,0.97973,0.96691,0.98533,0.78339,0.80992,0.44598,0.97442,0.0014159,0.0014159,0.0014159
61,43202.1,0.85798,0.53745,1.0388,0.95095,0.96928,0.98785,0.79147,0.84488,0.47598,1.01294,0.001406,0.001406,0.001406
62,43491.2,0.84619,0.52467,1.02505,0.97979,0.96956,0.98004,0.79487,0.78167,0.46358,1.00567,0.0013961,0.0013961,0.0013961
63,43780.1,0.82177,0.53572,1.02551,1,0.97539,0.98597,0.79612,0.86412,0.42399,1.00044,0.0013862,0.0013862,0.0013862
64,44069.1,0.82913,0.50934,1.0228,0.97878,0.96,0.98848,0.79756,0.83289,0.4514,0.99921,0.0013763,0.0013763,0.0013763
65,44357.9,0.82549,0.51877,1.01386,0.97668,0.98,0.99261,0.80418,0.77376,0.41731,0.98909,0.0013664,0.0013664,0.0013664
66,44646.8,0.82371,0.51447,1.00647,0.98977,0.96785,0.9786,0.8066,0.80564,0.41831,1.02186,0.0013565,0.0013565,0.0013565
67,44936.1,0.81339,0.49178,1.01735,0.96764,0.95,0.9867,0.79986,0.75356,0.43735,0.98019,0.0013466,0.0013466,0.0013466
68,45225.2,0.82531,0.50041,1.01508,0.97687,0.97,0.9895,0.82095,0.80421,0.42428,0.99706,0.0013367,0.0013367,0.0013367
69,45514.2,0.80987,0.51373,1.02844,0.9897,0.96128,0.99348,0.81894,0.79021,0.4171,0.96922,0.0013268,0.0013268,0.0013268
70,45803.2,0.83654,0.51439,1.01944,0.98154,0.98,0.99325,0.79552,0.84152,0.42882,1.00123,0.0013169,0.0013169,0.0013169
71,46092.1,0.83141,0.52901,1.02342,0.99158,0.97,0.99301,0.78742,0.84432,0.44923,1.03427,0.001307,0.001307,0.001307
72,46381,0.81932,0.50749,1.01024,0.98832,0.97,0.98552,0.81419,0.80957,0.42546,0.98955,0.0012971,0.0012971,0.0012971
73,46670.2,0.8369,0.52661,1.02194,0.98923,0.96,0.98799,0.79091,0.8628,0.44755,0.99257,0.0012872,0.0012872,0.0012872
74,46959.4,0.80476,0.49088,1.00819,0.98977,0.96757,0.98692,0.82483,0.79425,0.4353,0.99876,0.0012773,0.0012773,0.0012773
75,47248.5,0.81231,0.48667,1.00497,1,0.96549,0.99038,0.81813,0.81552,0.42391,0.97693,0.0012674,0.0012674,0.0012674
76,47537.7,0.80584,0.49117,1.01033,0.99734,0.98,0.98994,0.80907,0.77691,0.39926,0.98154,0.0012575,0.0012575,0.0012575
77,47827.3,0.80675,0.48175,1.0147,0.99006,0.99558,0.9949,0.82055,0.76621,0.39835,0.9712,0.0012476,0.0012476,0.0012476
78,48116.8,0.80491,0.49755,1.0083,0.98789,0.98,0.99328,0.83066,0.7431,0.38831,0.98685,0.0012377,0.0012377,0.0012377
79,48406,0.78613,0.48136,0.99868,0.9899,0.97967,0.98926,0.81309,0.8461,0.40291,0.99663,0.0012278,0.0012278,0.0012278
80,48695,0.77942,0.47409,0.99431,0.98014,0.98723,0.99195,0.81559,0.80893,0.38649,0.9721,0.0012179,0.0012179,0.0012179
81,48983.9,0.7779,0.48058,1.00274,1,0.97769,0.98894,0.83481,0.73429,0.38711,0.96585,0.001208,0.001208,0.001208
82,49273,0.76544,0.47749,0.99148,0.98696,0.97,0.98914,0.82525,0.74736,0.40865,0.97075,0.0011981,0.0011981,0.0011981
83,49561.7,0.7832,0.47192,1.00344,0.98789,0.97,0.98319,0.82319,0.7601,0.41418,0.95999,0.0011882,0.0011882,0.0011882
84,49850.6,0.75463,0.45195,0.9858,0.97864,0.98,0.9882,0.80001,0.92566,0.43623,1.01182,0.0011783,0.0011783,0.0011783
85,50139.8,0.74968,0.44539,0.9834,0.98576,0.97,0.98512,0.81894,0.79304,0.40266,0.96422,0.0011684,0.0011684,0.0011684
86,50428.6,0.77442,0.46786,0.98811,0.97997,0.97866,0.99165,0.8256,0.80509,0.38193,0.97005,0.0011585,0.0011585,0.0011585
87,50717.7,0.74919,0.45913,0.97944,0.98996,0.99,0.99079,0.81623,0.82263,0.38798,1.00637,0.0011486,0.0011486,0.0011486
88,51007.4,0.77133,0.46083,0.98976,0.94896,0.97,0.98068,0.80335,0.75105,0.42151,0.96436,0.0011387,0.0011387,0.0011387
89,51296.8,0.75667,0.45703,0.98102,0.98807,0.97,0.99321,0.81078,0.80347,0.39476,0.99148,0.0011288,0.0011288,0.0011288
