epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.2184,0.78683,0.5341,1.02775,0.99174,1,0.995,0.86897,0.6044,0.29301,0.85011,0.00016,0.00016,0.00016
2,23.5271,0.83428,0.51401,0.99582,0.98368,1,0.995,0.84561,0.66768,0.32772,0.86587,0.000326536,0.000326536,0.000326536
3,25.6508,0.85563,0.50748,0.9813,0.99429,0.97917,0.99459,0.87534,0.60713,0.31898,0.84364,0.000478816,0.000478816,0.000478816
4,27.6693,0.78187,0.4914,0.96251,1,0.99648,0.995,0.86617,0.55274,0.30753,0.84161,0.00061684,0.00061684,0.00061684
5,29.6992,0.71343,0.46011,0.93777,0.99736,1,0.995,0.8557,0.57589,0.30157,0.84868,0.000740608,0.000740608,0.000740608
6,31.7734,0.76472,0.46327,0.97166,0.99584,1,0.995,0.86555,0.60791,0.31541,0.8476,0.00085012,0.00085012,0.00085012
7,33.7512,0.77067,0.44121,0.9313,0.99514,1,0.995,0.85962,0.61849,0.32788,0.84745,0.000945376,0.000945376,0.000945376
8,35.777,0.68875,0.43,0.92566,0.99705,1,0.995,0.85359,0.61871,0.32436,0.85489,0.00102638,0.00102638,0.00102638
9,37.7623,0.67948,0.41946,0.9246,0.99843,1,0.995,0.85418,0.61097,0.31377,0.85149,0.00109312,0.00109312,0.00109312
10,39.7342,0.66964,0.39959,0.90674,0.99853,1,0.995,0.86406,0.60722,0.31062,0.84817,0.00114561,0.00114561,0.00114561
11,41.7367,0.69532,0.40142,0.92516,0.99896,1,0.995,0.85697,0.60009,0.30185,0.84798,0.00118384,0.00118384,0.00118384
12,43.7504,0.64736,0.40224,0.91243,0.99863,1,0.995,0.86628,0.59189,0.30471,0.8446,0.0011288,0.0011288,0.0011288
13,45.7296,0.65479,0.4157,0.89563,0.99852,1,0.995,0.86715,0.59422,0.29705,0.84373,0.0010496,0.0010496,0.0010496
